,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,spring,spring,spring,spring,spring,spring,spring,spring,spring,spring,spring,,winter,winter,winter,winter,winter,winter,winter,winter,winter,winter,winter,
B,,,,,,,,,,,,,,,,,,,,,,,,
C,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,
D,,,,,,,,,,,,,,,,,,,,,,,,
E,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,
F,,,,,,,,,,,,spring,,,,,,,,,,,,winter
G,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,spring,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,winter
H,,,,,,,,,,,,spring,,,,,,,,,,,,winter
I,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,
J,,,,,,,,,,,,spring,,,,,,,,,,,,winter
K,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,spring,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,winter
L,,,,,,,,,,,,spring,,,,,,,,,,,,winter
M,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,
N,,,,,,,,,,,,spring,,,,,,,,,,,,winter
O,spring,spring,spring,spring,spring,spring,spring,spring,spring,,spring,spring,winter,winter,winter,winter,winter,winter,winter,winter,winter,,winter,winter
P,,,,,,,,,,,,spring,,,,,,,,,,,,winter
