well_ID,sample_ID
A1,BTC22_7_C_1
A2,DEL22_3_A_2
A3,F1722_9_B_15
A4,FTH_2_A_16
A5,FTH_2_A_80
A6,MIL22_4_A_4
A7,MIL22_6_B_3
A8,TIS22_1_A_7
A9,TIS22_8_C_5
C1,BTC22_9_E_1
C2,F1722_3_A_6
C3,F1722_9_B_16
C4,FTH_2_A_17
C5,FTH_2_C_37
C6,MIL22_4_A_5
C7,MIL22_9_B_2
C8,TIS22_1_C_1
C9,TIS22_8_C_6
D2,NTC
E1,BUT_1_A_3
E2,F1722_9_A_14
E3,F1722_9_B_17
E4,FTH_2_A_25
E5,FTH_2_C_71
E6,MIL22_4_A_6
E7,MIL22_9_B_6
E8,TIS22_2_A_4
E9,TIS22_8_C_7
G1,BUT22_5_A_1
G2,F1722_9_A_17
G3,F1722_9_B_18
G4,FTH_2_A_51
G5,KNL_1_B_2
G6,MIL22_4_A_7
G7,MIL22_9_C_3
G8,TIS22_7_C_7
G9,TIS22_8_C_8
I1,BUT22_5_A_4
I2,F1722_9_A_25
I3,F1722_9_B_8
I4,FTH_2_A_52
I5,MIL22_3_A_4
I6,MIL22_4_A_8
I7,MIL22_9_C_5
I8,TIS22_8_C_10
I9,TIS22_8_C_9
K1,BUT22_8_B_2
K2,F1722_9_A_28
K3,FTH_1_A_11
K4,FTH_2_A_54
K5,MIL22_3_A_6
K6,MIL22_6_A_2
K7,MIL22_9_C_6
K8,TIS22_8_C_2
K9,DNA-POS (S)
L6,NTC
M1,CLR_6_A_1
M2,F1722_9_A_29
M3,FTH_1_A_47
M4,FTH_2_A_68
M5,MIL22_3_A_8
M6,MIL22_6_A_4
M7,MIL22_9_C_8
M8,TIS22_8_C_3
M9,DNA-NEG (F)
O1,DEL22_3_A_1
O2,F1722_9_A_30
O3,FTH_2_A_15
O4,FTH_2_A_72
O5,MIL22_4_A_2
O6,MIL22_6_A_5
O7,TIS22_1_A_10
O8,TIS22_8_C_4
